STAR,PRICE PER NIGHT,RESTAURANT,FREE BREAK FAST,PIZZA,BURGER,TABLETENNIS,HORSEBACKRIDING,BICYCLERIDING,BOARDGAMES,SWIMMINGPOOL,FREECANCELLATION,FREEWIFI,GYM,PLAYSTATION,CCTV_CAMERA,CHILDRENACTIVITIES,FREETAXISERVICE,ATM_ON_SITE,LAUNDRYSERVICE,PARKINGLOT,TELEVISION,DOUBLEBED,TWINBED,AIRCONDITIONING,BATHROOM,TELEPHONE,REFRIGERATOR,SHOWERCHAIR,CITY,OUTPUT
5,"11,400",1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,Addis Ababa,Capital Hotel And Spa
5,"12,990",1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Addis Ababa,Sheraton Addis Hotel
5,"12,996",1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,Addis Ababa,Hilton Hotel
5,"12,450",1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Addis Ababa,Radisson Hotel
5,"7,600",1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Addis Ababa,Ethiopian Skylight 
5,"10,300",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Addis Ababa,Hyatt Hotel
4,"3,306",1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Addis Ababa,Heyday Hotel
4,"9,082",1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Addis Ababa,Intercontenantal Hotel
4,"1,300",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,Jimma,Awetu Grand Hotel
3,"1,800",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,Jimma,Boni International Hotel
4,"1,200",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Jimma,Hotel Dololo
2,"1,450",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Jimma,Honeyland Hotel
3,"1,235",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,Jimma,Coffe Land Hotel
2,"1,000",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,Ambo,Abebech Metafaria Hotel
4,"1,400",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,Shashamane,Haile Hotel
4,1300,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,Shashamane,Shashemene Rift Valley Hotel
4,"1,035",1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,Shashamane,Zion Train Lodge
5,"3,598",1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,Hawassa,Haile  Resort Hawasa
4,"2,193",1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,Hawassa,South Star International Hotel
3,"1,989",1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,Hawassa,United Africa Group
4,"2,141",1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,Hawassa,Hawassa Oasis International Hotel
2,"1,632",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,Hawassa,Central Hawassa Hotel
4,"3,598",1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Hawassa,Lewi Hotel And Resorts
4,"1,542",1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,Hawassa,Heron Hotel
4,"2,260",1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Mekele,Atse Yohannes Hotel
4,"1,713",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,Mekele,Mekelle Hotel
4,"2,399",1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,Mekele,Desta International Hotel
4,"3,874",1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,Mekele,Planet Hotel
3,"1,760",1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,Mekele,Axum Hotel
4,"1,800",1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,Mekele,Moringa Hotel
5,"2,508",1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,Mekele,Romanat Hotel
2,500,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,Axum,Africa Hotel
3,"1,000",1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,Axum,Consolar Internationa Hotel
3,"1,000",1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,Axum,Axum Touring Hotel
3,750,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,Axum,Armah Hotel
3,"1,892",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,Axum,Brana Hotel
4,"5,204",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,Adama,Adama Hotel
4,"4,508",1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,Adama,Kuriftu Resort And Spa
4,"1,884",1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,Adama,Tokuma Hotel
4,"2,880",1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,Adama, Adama German Hotel
2,"1,500",1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,Adama,Executive Hotel
4,"2,700",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,Adama,Kereyu Hill Resort
4,"3,240",1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Adama,Rift Valley Hotel
4,"1,984",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,Adama,Dallol Hotel
3,"1,600",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,Adama,Ayu International Hotel
5,"1,130",1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,Harar,Sumeya Hotel
4,"1,265",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,Harar,Winta Hotel
3,"1,300",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,Harar,Wonderland Hotel
3,"1,190",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,Harar,Harar Ras Hotel
2,"1,100",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,Harar,Heritage Plaza  Hotel
4,900,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,Harar,Rewda Waber Harari Cultural Guest House
5,"2,700",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,Dire Dawa,African Village
4,"1,500",1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,Dire Dawa,Samrat Hotel
4,"1,556",1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,Dire Dawa,Siesta Hotel
3,"1,434",1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,Dire Dawa,Grand Triangle Hotel
4,"1,345",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,Dire Dawa,Mm Hotel
4,"1,345",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,Dire Dawa,Ma Hotel
4,"1,700",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,Dire Dawa,Sarbia Hotel And Resort
4,"2,447",1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,Gondar,Haile Resort Gondar
4,"1,758",1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,Gondar,Ag Hotel Gondar
3,"1,500",1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,Gondar,Goha Hotel
3,"3,675",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,Gondar,Taye Belay Hotel
4,"2,700",1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,Gondar,Florida International Hotel
5,"1,500",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,Gondar,Gondar Ethiopian Hotel
3,"1,200",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,Gondar,Gondar Landmark Hotel
4,990,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,Gondar,Jantekel Hotel
4,"2,568",1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,Gondar,Gondar Plaza Hotel
2,616,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,Gondar,Gondar Backpackers
5,"1,838",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bahirdar,Addis Amba Hotel
4,851,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,Bahirdar,Wynn Hotel
4,473,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,Bahirdar,B&B The Annex
5,"1,027",1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,Bahirdar,Teferi Mokonnen Hotel
4,"3,570",1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,Bahirdar,Blue Nile Resort
4,"1,300",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bahirdar,Jacaranda Hotel
5,"1,544",1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,Bahirdar,Delano Hotel & Spa
3,851,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bahirdar,Water Front Hotel
4,894,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,Bahirdar,Rahnile Hotel
4,808,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,Bahirdar,Lakemark Hotel
3,700,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,Debre Berhan,Getva Hotel
3,670,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,Debre Berhan,Eva Hotel
3,400,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,Debre Berhan,Hiwot Hotel
5,"1,370",1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,Lalibela,Ancient Lalibela Hotel
5,"1,096",1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,Lalibela,Merkeza Hotel
4,"1,541",1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,Lalibela,Lal Hotel & Spa 
4,"1,232",1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,Lalibela,Holidays Hotel
4,"1,401",1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,Lalibela,Honey Land Hotel 
4,"1,187",1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,Lalibela,Top Twelve Hotel
2,500,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,Kombolcha,Sunny Side International Hotel
4,700,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,Kombolcha,Yegofe View Hotel
3,650,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,Dessie,Golden Gate Hotel
4,500,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,Dessie,Hotel Time & Spa
3,860,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,Dessie,Melbourne Hotel
2,450,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,Debre Markos,Fm International Hotel
3,770,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Debre Markos,Gozamen Hotel
4,800,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,Debre Markos,Paradise Hotel
3,600,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,Asosa,Bamboo Paradise Hotel
4,700,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,Asosa,Blendana Hotel
2,500,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,Asosa,Semhal Hotel
3,400,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,Gambela,Baro Gambela Hotel
3,600,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,Gambela,Giwa Hotel
3,400,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,Ciroo,Agape Lodge
4,550,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Ciroo,Kebsh International Lodge
4,700,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Jijiga,City Crown Hotel
3,400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,Jijiga,Hamda Hotel
4,650,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,Jijiga,Zm International Hotel
4,500,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,Adigrat,Agamos Hotel
4,600,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,Adigrat,Agoro Lodge
4,1232,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,Adigrat,Canaan Hotel
3,700,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,Adigrat,Eve Hotel
3,650,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,Adigrat,Gebreselassie Hotel
3,450,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,Adigrat,Hohoma Hotel
3,1027,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,Alamata,Meaza Hotel
4,900,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,Alamata,Raya Grand Resort Hotel
3,750,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,Shire,Gebar Sire Hotel
3,650,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,Shire,Africa Hotel Shire
4,1100,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,Shire,Dejene Hotel And Spa
2,700,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,Shire,Hadas Hotel
4,890,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,Semera,Ardi Hotel
3,780,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,Semera,Dini Hotel
4,4160,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,Bishoftu,Kuriftu Resort
4,2740,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,Bishoftu,Babogaya Lake Viewpoint Lodge
4,3253,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,Bishoftu,Asham Africa Hotel
1,656,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,Hosaena,Wose Star Hotel
3,500,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,Soddo,Lemma Inernational Hotel
4,989,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,Soddo,Lewi Resort Wolaita
3,754,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,Soddo,Nega International
